date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:43	11709/11709	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:42%20GMT	http://ardventures.in/kriti/kriti/account.php?id=13	D:/KRITI/ardventures.in/kriti/kriti/account6e03.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Humanities)
11:56:49	20220/20220	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/img/testimonials/testimonials-4.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/testimonials/testimonials-4.jpg	(from http://ardventures.in/kriti/kriti/Pryear.php)
11:56:53	15853/15853	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/img/course-details-tab-4.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/course-details-tab-4.png	(from http://ardventures.in/kriti/kriti/course-details2.php)
11:56:54	13002/13002	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:53%20GMT	http://ardventures.in/kriti/kriti/courses.php	D:/KRITI/ardventures.in/kriti/kriti/courses.php	(from http://ardventures.in/kriti/kriti/index.php)
11:56:55	11689/11689	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:54%20GMT	http://ardventures.in/kriti/kriti/account.php?id=23	D:/KRITI/ardventures.in/kriti/kriti/account9c8a.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Economics)
11:56:56	11702/11702	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:55%20GMT	http://ardventures.in/kriti/kriti/account.php?id=24	D:/KRITI/ardventures.in/kriti/kriti/accountea25.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Economics)
11:56:56	11681/11681	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:56%20GMT	http://ardventures.in/kriti/kriti/account.php?id=25	D:/KRITI/ardventures.in/kriti/kriti/account9e43.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Economics)
11:57:01	154695/154695	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2023:43:26%20GMT	http://ardventures.in/kriti/kriti/assets/img/911.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/911.jpg	(from http://ardventures.in/kriti/kriti/enroll.php)
11:57:04	151616/151616	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2023:46:58%20GMT	http://ardventures.in/kriti/kriti/assets/img/913.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/913.jpg	(from http://ardventures.in/kriti/kriti/enroll.php)
11:57:04	165968/165968	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2023:44:54%20GMT	http://ardventures.in/kriti/kriti/assets/img/912.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/912.jpg	(from http://ardventures.in/kriti/kriti/enroll.php)
11:57:05	11187/11187	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/img/course-details-tab-5.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/course-details-tab-5.png	(from http://ardventures.in/kriti/kriti/course-details2.php)
11:57:05	18643/18643	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/img/course-details-tab-2.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/course-details-tab-2.png	(from http://ardventures.in/kriti/kriti/course-details2.php)
